MeasureID,ImplementingAgency,AnnouncedYear,StateActTitle,CountryImposing_cleaned,D_IP_bert_3,D_OTHER_INTENTION_bert_3,D_NOT_ENOUGH_INFO_bert_3,MeasureAffectedProducts,MAST_chapterName,MeasureType,firm_specific,ImplementationLevel,same_year_published
61059,KfW Ipex-Bank,2016,Germany: EXIM financing for an unidentified producer in December 2016,Germany,1,0,0,"853521,853529,853590",Export-related measures,Trade finance,Firm specific,NFI,
61060,KfW Ipex-Bank,2016,"Germany: EXIM financing for ThyssenKrupp Industrial Solutions AG, Essen, St. Ingbert in December 2016",Germany,1,0,0,"853521,853529,853590",Export-related measures,Trade finance,Firm specific,NFI,
61061,KfW Ipex-Bank,2016,Germany: EXIM financing for an unidentified producer in October 2016,Germany,1,0,0,854370,Export-related measures,Trade finance,Firm specific,NFI,
61062,KfW Ipex-Bank,2016,"Germany: EXIM financing for Reifenhäuser REICOFIL GmbH / Co. KG, Troisdorf in October 2016",Germany,1,0,0,"844511,844512,844513,844519,844520,844530,844540,844590",Export-related measures,Trade finance,Firm specific,NFI,
61063,KfW Ipex-Bank,2016,"Germany: EXIM financing for Brückner Maschinenbau GmbH & Co. KG, Siegsdorf KROENERT GmbH & Co. KG, Hamburg / Goebel Schneid- and Wickelsysteme GmbH, Darmstadt in October 2016",Germany,1,0,0,"847710,847720,847730,847740,847751,847759,847780,847790",Export-related measures,Trade finance,Firm specific,NFI,
61064,KfW Ipex-Bank,2016,"Germany: EXIM financing for Dieffenbacher GmbH Maschinen- und Anlagenbau, Eppingen in October 2016",Germany,1,0,0,847930,Export-related measures,Trade finance,Firm specific,NFI,
61065,KfW Ipex-Bank,2016,"Germany: EXIM financing for Primetals Technologies Germany GmbH, Erlangen in August 2016",Germany,1,0,0,851420,Export-related measures,Trade finance,Firm specific,NFI,
61066,KfW Ipex-Bank,2016,"Germany: EXIM financing for GIM Export Group GmbH & Co. KG, Göttingen in August 2016",Germany,1,0,0,847930,Export-related measures,Trade finance,Firm specific,NFI,
61067,KfW Ipex-Bank,2016,"Germany: EXIM financing for Andritz Hydro GmbH, Ravensburg in August 2016",Germany,1,0,0,"841011,841012,841013,841090",Export-related measures,Trade finance,Firm specific,NFI,
61068,KfW Ipex-Bank,2016,"Germany: EXIM financing for SMS group GmbH, Düsseldorf in August 2016",Germany,1,0,0,"846210,846221,846229,846231,846239,846241,846249,846291,846299",Export-related measures,Trade finance,Firm specific,NFI,
61069,KfW Ipex-Bank,2016,Germany: EXIM financing for an unidentified producer in July 2016,Germany,1,0,0,NA,Export-related measures,Trade finance,Firm specific,NFI,
61070,KfW Ipex-Bank,2016,"Germany: EXIM financing for CB&I Lummus Deutschland GmbH, Wiesbaden in June 2016",Germany,1,0,0,"842111,842112,842119,842121,842122,842123,842129,842131,842139,842191,842199",Export-related measures,Trade finance,Firm specific,NFI,
61071,KfW Ipex-Bank,2016,"Germany: EXIM financing for Textima Export Import GmbH, Berlin in April 2016",Germany,1,0,0,"844511,844513,844519,844520,844530,844540,844590",Export-related measures,Trade finance,Firm specific,NFI,
61072,KfW Ipex-Bank,2016,"Germany: EXIM financing for ThyssenKrupp Uhde Chlorine Engineers GmbH, Dortmund in April 2016",Germany,1,0,0,"842111,842112,842119,842121,842122,842123,842129,842131,842139,842191,842199",Export-related measures,Trade finance,Firm specific,NFI,
61073,KfW Ipex-Bank,2016,"Germany: EXIM financing for Lindauer DORNIER GmbH, Lindau in April 2016",Germany,1,0,0,"847710,847720,847730,847740,847751,847759,847780,847790",Export-related measures,Trade finance,Firm specific,NFI,
61074,KfW Ipex-Bank,2016,Germany: EXIM financing for Beumer Maschinenfabrik GmbH & Co. KG in März 2016,Germany,1,0,0,854370,Export-related measures,Trade finance,Firm specific,NFI,
61075,KfW Ipex-Bank,2016,"Germany: EXIM financing for Siemens AG, Erlangen in März 2016",Germany,1,0,0,853521,Export-related measures,Trade finance,Firm specific,NFI,
61076,KfW Ipex-Bank,2016,"Germany: EXIM financing for Siemens AG, Offenbach in März 2016",Germany,1,0,0,853521,Export-related measures,Trade finance,Firm specific,NFI,
61077,KfW Ipex-Bank,2016,"Germany: EXIM financing for Siemens AG, Offenbach in März 2016",Germany,1,0,0,853521,Export-related measures,Trade finance,Firm specific,NFI,
